Uncorrected efficiency,Corrected efficiency
0.431413612565445,0.3509272753197604
0.39809926082365366,0.33499086003419126
0.40488841657810837,0.3520238967836508
0.40365984930032295,0.3621893924271297
0.40416210295728366,0.3738182172058436
0.40489432703003336,0.3826313339768901
0.37572254335260113,0.35850460077064633
0.4023952095808383,0.38912172428602576
0.40120481927710844,0.39854456936473964
0.3696172248803828,0.3787036500933424
0.34782608695652173,0.3682830987763048
0.3430379746835443,0.37020526445920954
0.32941176470588235,0.3620158048703215
0.31208499335989376,0.34767137342245086
0.30677290836653387,0.34623413587429175
0.3,0.34324094931642773
0.3053735255570118,0.35726369444893535
0.30275229357798167,0.36033294344686695
0.3096514745308311,0.37316992167995333
0.3287101248266297,0.39984546859397024
0.3254847645429363,0.4013673571748217
0.3310344827586207,0.41227233424155546
0.3158620689655172,0.3998505921464393
0.30598052851182195,0.393633900788945
0.28772919605077574,0.37363769608346076
0.29014084507042254,0.3794986181892685
0.2981715893108298,0.39123399134992753
0.28917378917378916,0.37785239876762294
0.29555236728837875,0.387292861305032
0.3023255813953488,0.39447636854885315
0.30185979971387694,0.39322123086887356
0.3087818696883853,0.4014831281922338
0.306064880112835,0.400348579932693
0.31721194879089615,0.40880408927575174
0.3256484149855908,0.4162125042331761
0.3096590909090909,0.3919426984609481
0.3101983002832861,0.38760008119108963
0.3120665742024965,0.38687295336487004
0.3277310924369748,0.39825914084443387
0.3071625344352617,0.3722573698363159
0.3177570093457944,0.37980548448846396
0.3036649214659686,0.35780828897132166
0.29419354838709677,0.3416493081254611
0.31973684210526315,0.36224630750062575
0.30247718383311606,0.3377427504603414
0.33111702127659576,0.36256628894726767
0.3329015544041451,0.3569425114076401
0.34981458590852904,0.37073353100195355
0.3713592233009709,0.38752238135012934
0.3914590747330961,0.3957710922109557
0.39520958083832336,0.3880755741389597
0.4014002333722287,0.38642753674554414
0.40022547914317924,0.37814475942360465
0.39849624060150374,0.37496383683734563
0.37446808510638296,0.34202752311292467
0.39381003201707576,0.34875160670544253
0.4094736842105263,0.35119122302410555
0.4393305439330544,0.3644831246643278
0.45416666666666666,0.3640287844150832
0.45781893004115226,0.35407846929697473
0.47088866189989786,0.3509381438120959
0.4714867617107943,0.3381291802731441
0.47191011235955055,0.3251879925276061
0.4783047426841574,0.3162098723731271
0.4894472361809045,0.30992186308742115
0.4959758551307847,0.30027157297930895
0.49698795180722893,0.2871340685821826
0.5035246727089627,0.2770465214837807
0.506519558676028,0.26482404725564324
0.5295295295295295,0.26243593728776854
0.5416248746238717,0.2537703339425742
0.542,0.2393695724105171
0.5285285285285285,0.21929798381594098
0.5285285285285285,0.20527191441955536
0.5240480961923848,0.18972158047265275
0.52,0.1746515003248058
0.546,0.16920435042211018
0.5405405405405406,0.1535809755116337
0.537,0.13884354429864101
0.544,0.1268559980809455
0.584,0.12149808857450865
0.6226226226226226,0.11401855655902257
0.665,0.10537195307574933
0.69,0.09249741196000727
0.7231695085255767,0.07952574513758391
0.764,0.06590600188480393
0.786,0.049558330213950834
0.848,0.03435208423767166
