Optical efficiency,Field efficiency,DNI corrected efficiency
0.6617323464692939,0.0858291645908933,5.77412351887668
0.6242496998799519,0.2559768829231916,111.3542114802777
0.6364188163884674,0.4303356260200513,276.4324469754764
0.6197276652274992,0.52101354566507,391.5594155857408
0.5927043695053142,0.5117142679400383,415.6584873556232
0.5428169014084507,0.4933121494602233,417.2195433224879
0.5264111077573197,0.47130311078360637,405.65239011572675
0.5239238038098095,0.47245741961591853,406.60763364573455
0.5474339035769828,0.495681027043275,419.0924446413714
0.5910518053375197,0.5112747820720512,415.03635207099387
0.6290929203539823,0.527256315724794,395.6445591535671
0.6370918677752991,0.426645000437182,273.1989724213763
0.6168850655196559,0.25021148326388115,107.85436263647016
0.6720360180090045,0.08447939842103383,5.280337641366206
